	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10
Cre03.g189700	1.8609143607128817	1.2856374024071482	1.4561156284976218	1.7993825375592198	1.721055732649443	1.45471044024048	1.3563486458641787	1.110004573830301	1.4401775780244384	1.38485342219601	1.3532071294270236	1.2066123970130984	1.351512556230692	1.2263859656305158
Cre03.g189800	2.3706607884936832	1.7930961346210004	2.1214879512778313	2.4721078192819435	1.4240391151925191	1.4583604400006744	1.3466286989263074	1.5858572382107812	1.2791209692066128	1.609596268006477	1.5464198815014716	1.7899101529795338	2.032899675637382	1.590202346513061
Cre03.g190100	2.1882724643589917	1.7862914131172922	1.76137893830098	2.2729301774780732	1.8919916935897607	1.8757261657437316	1.9850404734624412	1.94131546003501	1.8943539869507007	1.751463635664335	1.7506182986558725	1.7820458093145208	1.8499200363997472	1.8883537536535613
Cre03.g190150	1.787924928877908	1.5796445366747245	1.4997957909246533	1.6881251982051384	1.3835113950034466	1.1133430681330363	1.3835915860962698	1.3134851085104295	1.5087937058673848	1.5110303466064468	1.39877310240044	1.4613804429847728	1.5198106115914098	1.341997767416717
Cre03.g190500	1.846124494177575	1.068095115188648	1.5900020217118338	1.8152721300007455	1.5993477025624225	1.487718823878087	1.627069841975314	1.403811263132131	1.3638271998694478	1.463546986034401	1.3697023519102323	1.3637970840319837	1.5521048426143083	1.1764868879306667
Cre03.g190850	2.49936549634126	2.301257742116159	1.4728615173525403	1.5212615128016276	1.6927951337670044	1.9971196815062051	1.5289933786079495	1.3782002118084702	1.4959847403972082	1.6677877569090203	1.7702047251144168	1.7827563623891935	1.8224982841580273	1.918784185833273
Cre03.g191800	1.7589907195612997	1.0947405219996933	1.2774194621816863	1.172586343451639	1.8265675251332034	1.6519665577229719	1.6130309061544694	2.168591454244395	1.5279770740264567	1.5635979944442693	1.6796003323330657	1.7521799981667563	1.649592101490639	1.703984038360859
Cre03.g191950	1.3453451477902947	1.2002881317343586	0.7488529501155025	1.022868221277846	1.0215641993962086	1.0581240400345675	0.8758373452225127	0.6261867552230969	1.0206155197727558	0.8398900473812434	0.3152752521928497	0.7169808632958189	0.8641369081424952	0.8081240784525949
Cre03.g192350	2.1960915504006793	1.5024873414373778	1.642518628394056	1.68800458110623	1.2142213382972595	1.2479606388956221	1.164128686214483	1.2990356627537378	1.0839289391785343	0.7821190884136935	0.8595602681214197	1.0441641593429012	0.8679923129914091	0.9204215222477848
Cre03.g193000	1.7168799024292671	0.8973534745652119	1.2775407919227912	1.1626372428206655	0.6554706173815207	0.8525473801213223	0.9081636206363783	0.6207773286011311	0.5548823689426051	0.8918446531933484	0.5209885376950537	0.8715790760024031	0.6121051522446748	0.6368284972610051
Cre03.g193350	1.3978763269480257	1.3594874724334318	1.1080511856901114	1.4203262118228452	0.7809406853449564	0.6441622237191221	1.084826714185581	0.9562881622407321	1.150389395210806	1.1745194202738694	0.9628358667471568	0.9787995211780323	0.9751921198372028	0.7622670993008905
Cre03.g193550	1.1546380327111927	0.39818807719190863	0.8362325207184991	1.0566460468773053	0.5466508350318675	0.6594716500526803	0.5992429586595016	0.29691456544200145	0.6170174571326349	0.6411935697000837	0.5683530735115634	0.2658754391588123	0.46966442789693186	0.3375416035973886
Cre03.g193700	1.3027624539519782	-0.27181065568589324	1.1738964857915917	1.268845432815959	1.0022884788265425	0.9198319781840812	1.351699992738799	1.1992138737239726	1.3122927685594574	1.3043808123285083	1.164722379173468	1.1927165169998353	1.1381988002552934	0.9634587506257305
Cre03.g193750	2.412750380728798	2.2553364365360884	2.092096130319804	2.4802496739688413	1.8034412601174716	1.8284096168993629	2.169344961548358	1.9483933756220926	2.0268695965432855	2.0919234143315	2.0083393808619707	1.8976047228196797	1.9729240756307196	1.8608930299430495
Cre03.g193800	2.4734734559507	1.602995810287247	1.8375712464430665	2.415909237577235	1.966607101327223	1.7721626415009701	1.9064920455682555	1.7141088436600187	1.8276351366749846	1.839505698389798	1.7471817494679316	1.7980935705183794	1.6933863705908294	1.6956613491113937
Cre03.g193850	2.491521070736947	1.3963289604171498	2.0486873574289866	2.065596502438449	2.3013179992924973	2.4789488075618875	2.2740420478838215	2.048293549728824	1.9917167663001583	2.0562432625833162	2.056673403878326	2.115603316664031	2.0083961281524862	1.8641495416649783
