Line1	Line2	SNPs	euclidean_distance	substructure	Similarity
CC2932	CC2931	0.1452	195.1652883966788	NA2	0.8548
CC3059	CC2931	0.1869	251.29459367508252	NA1 x NA2	0.8130999999999999
CC3060	CC2931	0.1852	236.98606459156397	NA1 x NA2	0.8148
CC3061	CC2931	0.1805	225.02918070853744	NA1 x NA2	0.8195
CC3063	CC2931	0.1903	216.97247187399438	NA1 x NA2	0.8097
CC3079	CC2931	0.1586	218.45207371579724	NA2	0.8414
CL3-1	CC2931	0.1519	228.30904766739715	NA2	0.8481
GB117	CC2931	0.1845	211.7733775974047	NA1 x NA2	0.8155
GB119	CC2931	0.1833	196.30332096233926	NA1 x NA2	0.8167
GB123	CC2931	0.1848	203.6733448655904	NA1 x NA2	0.8152
GB13	CC2931	0.1805	216.87294974144558	NA1 x NA2	0.8195
GB141	CC2931	0.1864	196.8743495228716	NA1 x NA2	0.8136
GB66	CC2931	0.1791	220.2694776468919	NA1 x NA2	0.8209
JG4-1	CC2931	0.1489	227.71862895478552	NA2	0.8511
W13-1	CC2931	0.1905	262.8000881558843	NA2	0.8095
W13-2	CC2931	0.1849	224.1087929356927	NA2	0.8150999999999999
CC3059	CC2932	0.1871	259.56695527145075	NA1 x NA2	0.8129
CC3060	CC2932	0.1865	232.14494609812576	NA1 x NA2	0.8135
CC3061	CC2932	0.185	219.93431111978646	NA1 x NA2	0.815
CC3063	CC2932	0.192	223.9232050392823	NA1 x NA2	0.808
CC3079	CC2932	0.1631	219.90332261812196	NA2	0.8369
CL3-1	CC2932	0.1595	230.48686401938616	NA2	0.8405
GB117	CC2932	0.1842	248.80817067030975	NA1 x NA2	0.8158
GB119	CC2932	0.1876	219.31047654133394	NA1 x NA2	0.8124
GB123	CC2932	0.1872	237.5677066237901	NA1 x NA2	0.8128
GB13	CC2932	0.1781	216.76504524181368	NA1 x NA2	0.8219
GB141	CC2932	0.1901	209.49636365746372	NA1 x NA2	0.8099000000000001
GB66	CC2932	0.1835	241.34767381200075	NA1 x NA2	0.8165
JG4-1	CC2932	0.1498	223.98149834861906	NA2	0.8502000000000001
W13-1	CC2932	0.1919	254.91757673625338	NA2	0.8081
W13-2	CC2932	0.1902	231.10886405391778	NA2	0.8098
CC3060	CC3059	0.1209	202.44495412279622	NA1	0.8791
CC3061	CC3059	0.1218	244.40745288516533	NA1	0.8782
CC3063	CC3059	0.13	203.39788894188268	NA1	0.87
CC3079	CC3059	0.1686	216.51583287154784	NA1 x NA2	0.8314
CL3-1	CC3059	0.1705	218.0685536665544	NA1 x NA2	0.8295
GB117	CC3059	0.1151	215.20535034608625	NA1	0.8849
GB119	CC3059	0.13	218.62674172962303	NA1	0.87
GB123	CC3059	0.1188	213.94257336113947	NA1	0.8812
GB13	CC3059	0.1195	265.0156666002724	NA1	0.8805000000000001
GB141	CC3059	0.1318	234.15173792581814	NA1	0.8682
GB66	CC3059	0.1269	241.34206553171742	NA1	0.8731
JG4-1	CC3059	0.1601	208.91159568284928	NA1 x NA2	0.8399
W13-1	CC3059	0.1587	216.99996595250548	NA1 x NA2	0.8412999999999999
W13-2	CC3059	0.1481	220.59268640423798	NA1 x NA2	0.8519
CC3061	CC3060	0.1212	227.4660730232167	NA1	0.8788
CC3063	CC3060	0.1257	186.6434245388034	NA1	0.8743
CC3079	CC3060	0.1697	213.08895664561834	NA1 x NA2	0.8303
CL3-1	CC3060	0.1688	221.0676640256938	NA1 x NA2	0.8311999999999999
GB117	CC3060	0.1122	214.0920581247778	NA1	0.8878
GB119	CC3060	0.1254	198.46833777823176	NA1	0.8746
GB123	CC3060	0.1136	201.89864516856298	NA1	0.8864
GB13	CC3060	0.1102	221.4979296204959	NA1	0.8898
GB141	CC3060	0.1292	202.71479432211004	NA1	0.8708
GB66	CC3060	0.1255	225.87731680716308	NA1	0.8745
JG4-1	CC3060	0.1604	209.78278954705786	NA1 x NA2	0.8396
W13-1	CC3060	0.152	210.37196114523567	NA1 x NA2	0.848
W13-2	CC3060	0.1435	205.94623965664763	NA1 x NA2	0.8565
CC3063	CC3061	0.1243	207.9546223254249	NA1	0.8757
CC3079	CC3061	0.1695	217.2357708625798	NA1 x NA2	0.8305
